nbytes,chunksize,method,mode,runtime,version,Throughput (Gbps),chunk size (MB)
3200000000,50000000,zarr-icechunk,read,2.1067523830006394,1.1.12,12.151404316219649,50.0
3200000000,12500000,zarr-icechunk,write,7.008239704000516,1.1.12,3.652843093449949,12.5
3200000000,12500000,zarr-icechunk,read,1.8502627880006912,1.1.12,13.835872485800886,12.5
3200000000,3125000,zarr-icechunk,write,2.040289125000527,1.1.12,12.54724131316114,3.125
3200000000,3125000,zarr-icechunk,read,1.8955252220002876,1.1.12,13.505491619354519,3.125
3200000000,781250,zarr-icechunk,write,3.7443434950000665,1.1.12,6.836979575774616,0.78125
3200000000,781250,zarr-icechunk,read,2.101282937999713,1.1.12,12.183033296967405,0.78125
3200000000,200000000,zarr-icechunk,write,7.311372760999802,1.1.12,3.501394449008957,200.0
3200000000,200000000,zarr-icechunk,read,2.5255268750006508,1.1.12,10.136498745432437,200.0
3200000000,50000000,zarr-icechunk,write,7.367860424000355,1.1.12,3.4745500765201203,50.0
3200000000,50000000,zarr-icechunk,read,2.0497474349995173,1.1.12,12.489343595644518,50.0
3200000000,12500000,zarr-icechunk,write,2.8875029860000723,1.1.12,8.865791697574148,12.5
3200000000,12500000,zarr-icechunk,read,2.731383645999813,1.1.12,9.37253909295822,12.5
3200000000,3125000,zarr-icechunk,write,2.1222447169993757,1.1.12,12.062699364942056,3.125
3200000000,3125000,zarr-icechunk,read,1.9910901089997424,1.1.12,12.857278474885595,3.125
3200000000,781250,zarr-icechunk,write,3.990333558000202,1.1.12,6.415503773782188,0.78125
3200000000,781250,zarr-icechunk,read,1.9852650610000637,1.1.12,12.895003545322142,0.78125
3200000000,200000000,zarr-icechunk,write,3.541695527000229,1.1.12,7.228176393153387,200.0
3200000000,200000000,zarr-icechunk,read,2.4322929970003315,1.1.12,10.52504777655145,200.0
3200000000,50000000,zarr-icechunk,write,2.634225396000147,1.1.12,9.718226860492452,50.0
3200000000,50000000,zarr-icechunk,read,2.0644614160000856,1.1.12,12.400328628858684,50.0
3200000000,12500000,zarr-icechunk,write,5.195742293999501,1.1.12,4.927111190554067,12.5
3200000000,12500000,zarr-icechunk,read,1.8761412269996072,1.1.12,13.645028226867785,12.5
3200000000,3125000,zarr-icechunk,write,2.147319317000438,1.1.12,11.921841245185789,3.125
3200000000,3125000,zarr-icechunk,read,1.8729871539999294,1.1.12,13.66800618217212,3.125
3200000000,781250,zarr-icechunk,write,4.023155004999353,1.1.12,6.363165219383368,0.78125
3200000000,781250,zarr-icechunk,read,1.9198451420006677,1.1.12,13.334408822850305,0.78125
3200000000,200000000,zarr-icechunk,write,6.497045959999923,1.1.12,3.940252255811394,200.0
3200000000,200000000,zarr-icechunk,read,2.4423893499997575,1.1.12,10.481539317227428,200.0
3200000000,50000000,zarr-icechunk,write,3.2746126250003726,1.1.12,7.817718591980658,50.0
3200000000,50000000,zarr-icechunk,read,2.045736575999399,1.1.12,12.513830128638968,50.0
3200000000,12500000,zarr-icechunk,write,2.7946259110003666,1.1.12,9.1604389336089,12.5
3200000000,12500000,zarr-icechunk,read,1.9424998969998342,1.1.12,13.178893877697943,12.5
3200000000,3125000,zarr-icechunk,write,2.097131198999705,1.1.12,12.20715232895813,3.125
3200000000,3125000,zarr-icechunk,read,1.9330970470000466,1.1.12,13.242997830723695,3.125
3200000000,781250,zarr-icechunk,write,3.9415844600007404,1.1.12,6.494850043120779,0.78125
3200000000,781250,zarr-icechunk,read,2.0416061489995627,1.1.12,12.53914718690705,0.78125
3200000000,200000000,zarr-icechunk,write,3.369633684999826,1.1.12,7.5972649828259655,200.0
3200000000,200000000,zarr-icechunk,read,2.5135283019999406,1.1.12,10.184886312849882,200.0
3200000000,50000000,zarr-icechunk,write,5.397499388000142,1.1.12,4.742937082478337,50.0
3200000000,50000000,zarr-icechunk,read,2.1318333210001583,1.1.12,12.008443506263264,50.0
3200000000,12500000,zarr-icechunk,write,3.3494750719992226,1.1.12,7.642988662315963,12.5
3200000000,12500000,zarr-icechunk,read,1.9275296400001025,1.1.12,13.281248427390532,12.5
3200000000,3125000,zarr-icechunk,write,2.209621989999505,1.1.12,11.58569208482838,3.125
3200000000,3125000,zarr-icechunk,read,1.9655451970002105,1.1.12,13.024376157348295,3.125
3200000000,781250,zarr-icechunk,write,3.9298418959997434,1.1.12,6.51425697966595,0.78125
3200000000,781250,zarr-icechunk,read,2.1052409190006074,1.1.12,12.160128453209404,0.78125
3200000000,200000000,tensorstore,write,2.5570110449998538,,10.011689253380393,200.0
3200000000,200000000,tensorstore,read,2.3919416250000722,,10.702602326258372,200.0
3200000000,50000000,tensorstore,write,6.414399133999723,,3.9910207433626015,50.0
3200000000,50000000,tensorstore,read,2.073715593000088,,12.344990839830617,50.0
3200000000,12500000,tensorstore,write,2.2191334319995804,,11.536034575862692,12.5
3200000000,12500000,tensorstore,read,2.010126561999641,,12.735516501276187,12.5
3200000000,3125000,tensorstore,write,3.67479996900056,,6.96636557525673,3.125
3200000000,3125000,tensorstore,read,2.050293991000217,,12.486014255697679,3.125
3200000000,781250,tensorstore,write,12.954034315000172,,1.976218325310161,0.78125
3200000000,781250,tensorstore,read,11.097125966000021,,2.306903614362374,0.78125
3200000000,200000000,tensorstore,write,2.291376333999324,,11.172324519612305,200.0
3200000000,200000000,tensorstore,read,2.360721351000393,,10.844143036683086,200.0
3200000000,50000000,tensorstore,write,5.3534732190000796,,4.781942292929143,50.0
3200000000,50000000,tensorstore,read,2.1081047289999333,,12.143609208705879,50.0
3200000000,12500000,tensorstore,write,5.703745175999757,,4.4882790535102774,12.5
3200000000,12500000,tensorstore,read,2.0472405069995148,,12.504637297119517,12.5
3200000000,3125000,tensorstore,write,3.86076354800025,,6.630812708864279,3.125
3200000000,3125000,tensorstore,read,2.0902295219993903,,12.247458822374947,3.125
3200000000,781250,tensorstore,write,13.046977282000626,,1.962140306269813,0.78125
3200000000,781250,tensorstore,read,10.901659328999813,,2.3482663718816377,0.78125
3200000000,200000000,tensorstore,write,6.987125081999693,,3.6638817395656758,200.0
3200000000,200000000,tensorstore,read,2.3531147149997196,,10.879197617020152,200.0
3200000000,50000000,tensorstore,write,4.324728294000124,,5.919447017172373,50.0
3200000000,50000000,tensorstore,read,2.067613271000482,,12.381425655878386,50.0
3200000000,12500000,tensorstore,write,2.5508332039999004,,10.035936477484006,12.5
3200000000,12500000,tensorstore,read,2.0261182020003616,,12.634998281307297,12.5
3200000000,3125000,tensorstore,write,3.698258101999272,,6.922177764218426,3.125
3200000000,3125000,tensorstore,read,2.068603749000431,,12.375497246570381,3.125
3200000000,781250,tensorstore,write,13.660099585999887,,1.8740712568623739,0.78125
3200000000,781250,tensorstore,read,11.613495311000406,,2.2043320563234268,0.78125
3200000000,200000000,tensorstore,write,5.291420974000175,,4.838019905387923,200.0
3200000000,200000000,tensorstore,read,2.3469560419998743,,10.907745838386424,200.0
3200000000,50000000,tensorstore,write,2.5657041320000644,,9.97776777170477,50.0
3200000000,50000000,tensorstore,read,2.1000383749997127,,12.190253428108665,50.0
3200000000,12500000,tensorstore,write,3.3810948079999434,,7.571512026053908,12.5
3200000000,12500000,tensorstore,read,2.0256480099997134,,12.637931108279577,12.5
3200000000,3125000,tensorstore,write,3.822006273000625,,6.698052847490922,3.125
3200000000,3125000,tensorstore,read,2.073553487999561,,12.345955938998866,3.125
3200000000,781250,tensorstore,write,13.509676444000434,,1.8949380546688672,0.78125
3200000000,781250,tensorstore,read,11.450098588999936,,2.2357886092434014,0.78125
3200000000,200000000,tensorstore,write,2.5716084030000275,,9.954859367443015,200.0
3200000000,200000000,tensorstore,read,2.360180558999673,,10.846627772770985,200.0
3200000000,50000000,tensorstore,write,2.627202330999353,,9.744205727109758,50.0
3200000000,50000000,tensorstore,read,2.0003218250003556,,12.79794065137266,50.0
3200000000,12500000,tensorstore,write,3.847610996000185,,6.653479269763156,12.5
3200000000,12500000,tensorstore,read,2.021669566000128,,12.662801295787219,12.5
3200000000,3125000,tensorstore,write,3.6761551520003195,,6.9637974844642185,3.125
3200000000,3125000,tensorstore,read,2.076514516000316,,12.328351091573158,3.125
3200000000,781250,tensorstore,write,13.046480270999382,,1.962215054807192,0.78125
3200000000,781250,tensorstore,read,10.9386752420005,,2.3403199595601296,0.78125
3200000000,200000000,tiledb,write,8.61288213700027,,2.972291921890397,200.0
3200000000,200000000,tiledb,read,3.364592045999416,,7.608649027878148,200.0
3200000000,50000000,tiledb,write,7.468050104999747,,3.4279362939545868,50.0
3200000000,50000000,tiledb,read,3.319561827999678,,7.711861181216862,50.0
3200000000,12500000,tiledb,write,7.06752363600026,,3.622202247700988,12.5
3200000000,12500000,tiledb,read,3.311242882999977,,7.731235945098195,12.5
3200000000,3125000,tiledb,write,7.090878988999975,,3.610271736369085,3.125
3200000000,3125000,tiledb,read,3.0960296729999754,,8.268654600843744,3.125
3200000000,781250,tiledb,write,7.129352720000497,,3.5907888142751636,0.78125
3200000000,781250,tiledb,read,3.173109538999597,,8.067795859348443,0.78125
3200000000,200000000,tiledb,write,8.53850826300004,,2.9981817914181343,200.0
3200000000,200000000,tiledb,read,3.37586388300042,,7.58324413757082,200.0
3200000000,50000000,tiledb,write,7.248135666999588,,3.5319427196369357,50.0
